name,dates/start/localDate,dates/start/localTime,dates/timezone,classifications/0/segment/name,classifications/0/genre/name,classifications/0/subGenre/name,_embedded/venues/0/name,_embedded/venues/0/postalCode,_embedded/venues/0/city/name,_embedded/venues/0/state/name,_embedded/venues/0/state/stateCode,_embedded/venues/0/address/line1,_embedded/venues/0/location/longitude,_embedded/venues/0/location/latitude,_embedded/venues/0/markets/0/id,_embedded/venues/0/markets/1/id,_embedded/venues/0/markets/2/id,_embedded/venues/0/dmas/0/id,_embedded/venues/0/dmas/1/id,_embedded/venues/0/dmas/2/id,_embedded/venues/0/upcomingEvents/_total,_embedded/venues/0/upcomingEvents/tmr,_embedded/venues/0/upcomingEvents/ticketmaster,_embedded/venues/0/dmas/4/id,_embedded/venues/0/dmas/5/id,_embedded/venues/0/dmas/6/id,_embedded/venues/0/dmas/7/id,_embedded/venues/0/dmas/8/id
JAY-Z andBEYONCE - OTR II,8/2/2018,19:30:00,America/New_York,Music,Hip-Hop/Rap,French Rap,MetLife Stadium,7073,East Rutherford,New Jersey,NJ,One MetLife Stadium Drive,-74.07444122,40.81393312,35,55,124,296,345,422,37,8,29,,,,,
JAY-Z andBEYONCE - OTR II,8/3/2018,19:30:00,America/New_York,Music,Hip-Hop/Rap,French Rap,MetLife Stadium,7073,East Rutherford,New Jersey,NJ,One MetLife Stadium Drive,-74.07444122,40.81393312,35,55,124,296,345,422,37,8,29,,,,,
Lady Antebellum & Darius Rucker: Summer Plays On Tour,8/3/2018,19:00:00,America/New_York,Music,Country,Country,PNC Bank Arts Center,7733,Holmdel,New Jersey,NJ,"Exit 116, Garden State Pkwy",-74.1377399,40.410434,35,55,124,296,345,422,30,,30,,,,,
Lady Antebellum & Darius Rucker Summer Plays On Tour,8/4/2018,19:00:00,America/New_York,Music,Country,Country,Northwell Health at Jones Beach Theater,11793,Wantagh,New York,NY,895 Bay Parkway,-73.5023618,40.6014755,35,124,,296,345,,28,,28,,,,,
Bad Bunny - La Nueva Religion Tour,8/18/2018,20:00:00,America/New_York,Music,Hip-Hop/Rap,French Rap,Prudential Center,7102,Newark,New Jersey,NJ,25 Lafayette Street,-74.17121214,40.73340555,35,55,124,296,345,422,146,,146,,,,,
Zac Brown Band: Down the Rabbit Hole Live!,9/29/2018,19:00:00,America/New_York,Music,Country,Country,Saratoga Performing Arts Center,12866,Saratoga Springs,New York,NY,108 Avenue of the Pines,-73.80584965,43.05522919,35,44,124,213,231,237,14,,14,296,345,372,394,406
Zac Brown Band: Down the Rabbit Hole Live!,9/30/2018,19:00:00,America/New_York,Music,Country,Country,XFINITY Theatre,6120,Hartford,Connecticut,CT,61 Savitt Way,-72.6693191,41.7801718,11,33,35,225,235,238,12,,12,345,361,363,364,392
Bruno Mars: 24K Magic World Tour,10/1/2018,20:00:00,America/New_York,Music,Rock,Pop,Prudential Center,7102,Newark,New Jersey,NJ,25 Lafayette Street,-74.17121214,40.73340555,35,55,124,296,345,422,146,,146,,,,,
Bruno Mars: 24K Magic World Tour,10/2/2018,20:00:00,America/New_York,Music,Rock,Pop,Prudential Center,7102,Newark,New Jersey,NJ,25 Lafayette Street,-74.17121214,40.73340555,35,55,124,296,345,422,146,,146,,,,,
Bruno Mars: 24K Magic World Tour,10/4/2018,20:00:00,America/New_York,Music,Rock,Pop,Barclays Center,11217,Brooklyn,New York,NY,620 Atlantic Ave,-73.97661659,40.68350417,35,55,,345,422,,85,3,82,,,,,
Bruno Mars: 24K Magic World Tour,10/5/2018,20:00:00,America/New_York,Music,Rock,Pop,Barclays Center,11217,Brooklyn,New York,NY,620 Atlantic Ave,-73.97661659,40.68350417,35,55,,345,422,,85,3,82,,,,,
Marc Anthony,10/27/2018,20:00:00,America/New_York,Music,World,Latin,Mohegan Sun Arena,6382,Uncasville,Connecticut,CT,1 Mohegan Sun Blvd,-72.0914563,41.4915974,11,33,35,225,235,238,48,1,47,345,361,363,364,392
Marc Anthony,10/28/2018,19:00:00,America/New_York,Music,World,Latin,Madison Square Garden,10001,New York,New York,NY,7th Ave & 32nd Street,-73.9916006,40.7497062,35,51,55,200,296,345,255,,255,,,,,
Billie Eilish,11/3/2018,18:30:00,America/New_York,Music,Pop,Pop,Irving Plaza presented by Cricket Wireless,10003,New York,New York,NY,17 Irving Place,-73.9884469,40.734917,35,55,124,296,345,422,66,,66,,,,,
"HANSON STRING THEORY, Live with Orchestra",11/13/2018,20:00:00,America/New_York,Music,Rock,Pop,Beacon Theatre,10023,New York,New York,NY,2124 Broadway @ 74th St,-73.980673,40.779925,35,55,124,296,345,422,60,,60,,,,,
Maxwell:  50 Intimate Nights Live,12/9/2018,20:00:00,America/New_York,Music,R&B,R&B,Beacon Theatre,10023,New York,New York,NY,2124 Broadway @ 74th St,-73.980673,40.779925,35,55,124,296,345,422,60,,60,,,,,
Panic! At the Disco: Pray for the Wicked Tour with Two Feet,1/16/2019,19:00:00,America/New_York,Music,Rock,Pop,Barclays Center,11217,Brooklyn,New York,NY,620 Atlantic Ave,-73.97661659,40.68350417,35,55,,345,422,,85,3,82,,,,,
Panic! At the Disco: Pray for the Wicked Tour with Two Feet,1/18/2019,19:00:00,America/New_York,Music,Rock,Pop,Prudential Center,7102,Newark,New Jersey,NJ,25 Lafayette Street,-74.17121214,40.73340555,35,55,124,296,345,422,146,,146,,,,,
P!NK: BEAUTIFUL TRAUMA WORLD TOUR,5/21/2019,19:30:00,America/New_York,Music,Rock,Alternative Rock,Madison Square Garden,10001,New York,New York,NY,7th Ave & 32nd Street,-73.9916006,40.7497062,35,51,55,200,296,345,255,,255,,,,,
P!NK: BEAUTIFUL TRAUMA WORLD TOUR,5/22/2019,19:30:00,America/New_York,Music,Rock,Alternative Rock,Madison Square Garden,10001,New York,New York,NY,7th Ave & 32nd Street,-73.9916006,40.7497062,35,51,55,200,296,345,255,,255,,,,,
